Названия;Описание товара;в наличии товара;Ссылка
Сотовый телефон BRAVIS A552 Joy Max золотой;7730 сом;"Сотовый телефон BRAVIS A552 Joy Max золотойсмартфон, Android 6.0
	поддержка двух SIM-карт
	экран 5.5"", разрешение 1280x720
	камера 13 МП, автофокус
	память 8 Гб, слот для карты памяти
	3G, Wi-Fi, Bluetooth, GPS
	объем оперативной памяти 1 Гб
	аккумулятор 3000 мА⋅ч
	вес 184 г, ШxВxТ 77x153x8.30...";На складе;https://www.kivano.kg/product/view/sotovyy-telefon-bravis-a552-joy-max-zolotoy
Сотовый телефон BRAVIS A552 Joy Max серый;7730 сом;"Сотовый телефон BRAVIS A552 Joy Max серыйсмартфон, Android 6.0
	поддержка двух SIM-карт
	экран 5.5"", разрешение 1280x720
	камера 13 МП, автофокус
	память 8 Гб, слот для карты памяти
	3G, Wi-Fi, Bluetooth, GPS
	объем оперативной памяти 1 Гб
	аккумулятор 3000 мА⋅ч
	вес 184 г, ШxВxТ 77x153x8.30...";На складе;https://www.kivano.kg/product/view/sotovyy-telefon-bravis-a552-joy-max-seryy
Сотовый телефон BRAVIS Next черный;6370 сом;"Сотовый телефон BRAVIS Next черныйсмартфон, Android 5.1; поддержка двух SIM-карт; экран 4.5"", разрешение 800x480; камера 5 МП; память 4 Гб, слот для карты памяти; 3G, Wi-Fi, Bluetooth, GPS; аккумулятор 1700 мА⋅ч; вес 120 г,...";На складе;https://www.kivano.kg/product/view/sotovyy-telefon-bravis-next-chernyy
Сотовый телефон BRAVIS Trend черный;7730 сом;"Сотовый телефон BRAVIS Trend черныйсмартфон, Android 5.1; поддержка двух SIM-карт; экран 5"", разрешение 1280x720; камера 5 МП; память 8 Гб, слот для карты памяти; 3G, Wi-Fi, Bluetooth, GPS; аккумулятор 2000 мА⋅ч; вес 146 г,...";На складе;https://www.kivano.kg/product/view/sotovyy-telefon-bravis-trend-chernyy
Сотовый телефон BRAVIS Trend белый;7730 сом;"Сотовый телефон BRAVIS Trend белыйсмартфон, Android 5.1; поддержка двух SIM-карт; экран 5"", разрешение 1280x720; камера 5 МП; память 8 Гб, слот для карты памяти; 3G, Wi-Fi, Bluetooth, GPS; аккумулятор 2000 мА⋅ч; вес 146 г,...";На складе;https://www.kivano.kg/product/view/sotovyy-telefon-bravis-trend-belyy
Сотовый телефон Apple iPhone 12 128GB черный;72840 сом-1%71990 сом;"Сотовый телефон Apple iPhone 12 128GB черныйiOS 14, поддержка SIM-карт (nano SIM+eSIM), экран 6.1"", разрешение 2532x1170, двойная камера: сверхширокоугольная (12 МП), широкоугольная, процессор Apple A14 Bionic, память 128 ГБ, без слота для карт памяти, 3G, 4G...";На складе;https://www.kivano.kg/product/view/sotovyy-telefon-apple-iphone-12-128gb-chernyy
Сотовый телефон Philips Xenium V526 LTE синий;17740 сом;"Сотовый телефон Philips Xenium V526 LTE синийсмартфон, Android 5.1; поддержка двух SIM-карт; экран 5"", разрешение 1280x720; камера 13 МП; память 8 Гб, слот для карты памяти; 3G, 4G LTE, LTE-A, Wi-Fi, Bluetooth, GPS, ГЛОНАСС; аккумулятор 5000...";На складе;https://www.kivano.kg/product/view/sotovyy-telefon-philips-xenium-v526-lte-siniy
Сотовый телефон Apple iPhone 12 128GB красный;72840 сом-1%71990 сом;"Сотовый телефон Apple iPhone 12 128GB красныйiOS 14, поддержка SIM-карт (nano SIM+eSIM), экран 6.1"", разрешение 2532x1170, двойная камера: сверхширокоугольная (12 МП), широкоугольная, процессор Apple A14 Bionic, память 128 ГБ, без слота для карт памяти, 3G, 4G...";На складе;https://www.kivano.kg/product/view/sotovyy-telefon-apple-iphone-12-128gb-krasnyy
Сотовый телефон Apple iPhone 12 128GB синий;72840 сом-1%71990 сом;"Сотовый телефон Apple iPhone 12 128GB синийiOS 14, поддержка SIM-карт (nano SIM+eSIM), экран 6.1"", разрешение 2532x1170, двойная камера: сверхширокоугольная (12 МП), широкоугольная, процессор Apple A14 Bionic, память 128 ГБ, без слота для карт памяти, 3G, 4G...";На складе;https://www.kivano.kg/product/view/sotovyy-telefon-apple-iphone-12-128gb-siniy
Сотовый телефон Apple iPhone 12 128GB зеленый;72840 сом-1%71990 сом;"Сотовый телефон Apple iPhone 12 128GB зеленыйiOS 14, поддержка SIM-карт (nano SIM+eSIM), экран 6.1"", разрешение 2532x1170, двойная камера: сверхширокоугольная (12 МП), широкоугольная, процессор Apple A14 Bionic, память 128 ГБ, без слота для карт памяти, 3G, 4G...";На складе;https://www.kivano.kg/product/view/sotovyy-telefon-apple-iphone-12-128gb-zelenyy
